timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665147987540,40,Get User by ID,200,OK,stress 1-13,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,39,0,0
1665147989344,160,Get Users,200,OK,stress 1-14,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,160,0,120
1665147989505,39,Delete User,200,OK,stress 1-14,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,39,0,0
1665147989545,39,Get User by ID,200,OK,stress 1-14,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,39,0,0
1665147991334,145,Get Users,200,OK,stress 1-15,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,145,0,109
1665147991479,35,Delete User,200,OK,stress 1-15,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,35,0,0
1665147991514,38,Get User by ID,200,OK,stress 1-15,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,38,0,0
1665147993342,145,Get Users,200,OK,stress 1-16,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,145,0,110
1665147993487,36,Delete User,200,OK,stress 1-16,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,36,0,0
1665147993523,35,Get User by ID,200,OK,stress 1-16,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,35,0,0
1665147995344,178,Get Users,200,OK,stress 1-17,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,178,0,135
1665147995523,43,Delete User,200,OK,stress 1-17,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,43,0,0
1665147995566,45,Get User by ID,200,OK,stress 1-17,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,44,0,0
1665147997343,171,Get Users,200,OK,stress 1-18,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,171,0,125
1665147997515,41,Delete User,200,OK,stress 1-18,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,41,0,0
1665147997556,39,Get User by ID,200,OK,stress 1-18,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,39,0,0
1665147999341,178,Get Users,200,OK,stress 1-19,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,178,0,133
1665147999520,35,Delete User,200,OK,stress 1-19,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,35,0,0
1665147999555,35,Get User by ID,200,OK,stress 1-19,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,35,0,0
1665148001342,161,Get Users,200,OK,stress 1-20,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,161,0,121
1665148001503,40,Delete User,200,OK,stress 1-20,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,39,0,0
1665148001543,44,Get User by ID,200,OK,stress 1-20,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,44,0,0
1665148003337,157,Get Users,200,OK,stress 1-21,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,157,0,110
1665148003494,36,Delete User,200,OK,stress 1-21,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,36,0,0
1665148003531,35,Get User by ID,200,OK,stress 1-21,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,35,0,0
1665148005341,161,Get Users,200,OK,stress 1-22,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,160,0,114
1665148005502,36,Delete User,200,OK,stress 1-22,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,36,0,0
1665148005538,36,Get User by ID,200,OK,stress 1-22,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,36,0,0
1665148007341,145,Get Users,200,OK,stress 1-23,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,145,0,110
1665148007487,35,Delete User,200,OK,stress 1-23,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,35,0,0
1665148007522,36,Get User by ID,200,OK,stress 1-23,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,36,0,0
1665148009334,176,Get Users,200,OK,stress 1-24,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,176,0,127
1665148009510,40,Delete User,200,OK,stress 1-24,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,40,0,0
1665148009551,40,Get User by ID,200,OK,stress 1-24,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,40,0,0
1665148011338,165,Get Users,200,OK,stress 1-25,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,164,0,124
1665148011503,40,Delete User,200,OK,stress 1-25,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,40,0,0
1665148011544,40,Get User by ID,200,OK,stress 1-25,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,40,0,0
1665148013335,143,Get Users,200,OK,stress 1-26,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,143,0,108
1665148013478,35,Delete User,200,OK,stress 1-26,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,35,0,0
1665148013513,35,Get User by ID,200,OK,stress 1-26,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,35,0,0
