timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665147699575,39,Delete Users,200,OK,endurance 1-13,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,39,0,0
1665147699614,36,Get User by ID,200,OK,endurance 1-13,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,36,0,0
1665147701424,157,Get Users,200,OK,endurance 1-14,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,157,0,112
1665147701581,36,Delete Users,200,OK,endurance 1-14,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,36,0,0
1665147701617,42,Get User by ID,200,OK,endurance 1-14,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,42,0,0
1665147703406,150,Get Users,200,OK,endurance 1-15,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,150,0,114
1665147703556,36,Delete Users,200,OK,endurance 1-15,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,36,0,0
1665147703593,35,Get User by ID,200,OK,endurance 1-15,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,35,0,0
1665147705405,185,Get Users,200,OK,endurance 1-16,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,185,0,148
1665147705591,37,Delete Users,200,OK,endurance 1-16,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,37,0,0
1665147705628,35,Get User by ID,200,OK,endurance 1-16,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,35,0,0
1665147707407,165,Get Users,200,OK,endurance 1-17,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,164,0,124
1665147707572,40,Delete Users,200,OK,endurance 1-17,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,40,0,0
1665147707613,40,Get User by ID,200,OK,endurance 1-17,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,40,0,0
1665147709408,163,Get Users,200,OK,endurance 1-18,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,163,0,123
1665147709572,40,Delete Users,200,OK,endurance 1-18,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,40,0,0
1665147709612,43,Get User by ID,200,OK,endurance 1-18,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,43,0,0
1665147711410,152,Get Users,200,OK,endurance 1-19,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,152,0,112
1665147711563,34,Delete Users,200,OK,endurance 1-19,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,34,0,0
1665147711598,36,Get User by ID,200,OK,endurance 1-19,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,35,0,0
